Item,Purpose,Price,Set,Quantity,Total,Link,Status
Battery: LiPo 850 mAh 3s 25/30C,3 cells Lipo battery option 1,$6.18,A,1,$6.18,https://hobbyking.com/en_us/turnigy-nano-tech-850mah-3s-25-40c-lipo-pack.html?wrh_pdp=2&utm_source=google&utm_medium=cpc&utm_campaign=google_us_shopping&countrycode=US,
Motor: SunnySky R1106 FPV Brushless Motors,Brushless motors compatible with option 1 batteries for the propellors,$11.99,A,4,$47.96,https://druav.com/products/sunnysky-r1106-fpv-motors,
Propeller: Gemfan Hurricane 2009-3 Tri-Blade,4 sets of Tri-blade propellors compatible with option 1 motors,$4.99,A,1,$4.99,https://pyrodrone.com/products/gemfan-2512-2-5inch-3-blade-1-5mm-2mm-hole-propeller-4cw-4ccw,
Battery: 3S 1000 mAh,"3 cells Lipo battery option 2, back up if the first set does not work",$10.99,B,1,$10.99,https://hobbyking.com/en_us/turnigy-1000mah-3s-40c-lipo-pack-jst.html?wrh_pdp=2&utm_source=google&utm_medium=cpc&utm_campaign=google_us_shopping&countrycode=US,
Motor: RCINPOWER GTS 1204 5000KV Motor,Brushless motors compatible with option 2 batteries for the propellors,$18.99,B,4,$75.96,https://pyrodrone.com/products/rcinpower-gts-1204-5000kv-motor-choose-color,
Propeller: HQProp T3.5x2x3 Propeller,4 sets of Tri-blade propellors compatible with option 2 motors,$3.99,B,1,$3.99,https://www.getfpv.com/hqprop-3520-3-blade-1-5mm-shaft-propeller-set-of-4-grey.html,
CADDXFPV Ant Lite Analog Camera (FPV Cycle Edition),Add-on Camera to test modularity,$15.90,,1,$15.90,https://www.caddxfpv.com/products/caddxfpv-ant-lite-4-3-fpvcycle-edition,
TFMini-S - Micro LiDAR Module,Add-on sensor to test modularity,$72.95,,1,$72.95,https://www.sparkfun.com/tfmini-s-micro-lidar-module.html,
HAKRC 20A 4In1 3-6S Blheli_32 5V 3A BEC Dshot1200 Mini Size ESC,Electronic speed controller with a power regulator,$30.12,,1,$30.12,https://www.alibaba.com/product-detail/HAKRC-15A-20A-30A-40A-4In1_1600358245493.html?spm=a2756.trade-carp.valid-supplier.2.3b353192CuZ0Q9,
Perforated Circuit Board,Building stack and connecting parts together,$4.95,,2,$9.90,https://www.adafruit.com/product/2670?srsltid=AfmBOorbqndNKgbSRz8enQX0Ym3rRVIfEtqS8EKpONOxU7GuqFfw36bmbvU,Picked up from BELS
Female Header Pins 2x8,Building stack and connecting parts together,$0.09,,2,$0.18,https://www.aliexpress.com/item/2251832418097093.html?_randl_currency=USD&_randl_shipto=US&src=google&pdp_npi=4%40dis!USD!4.99!4.59!!!!!%40!59185858513!ppc!!!,Picked up from BELS
Female Header Pins 2x6,Building stack and connecting parts together,$0.17,,4,$0.68,https://www.ebay.com/itm/400985399809?chn=ps&mkevt=1&mkcid=28&google_free_listing_action=view_item&srsltid=AfmBOoop0ifCWWpwxzn1iDlf-6xH49U4xcpboVoAjmNNQACuX_EXlwHfjmU,Picked up from BELS

Female Header Pins 2x10,Building stack and connecting parts together,$0.72,,2,$1.44,https://www.mikroe.com/2x10-female-header-socket?srsltid=AfmBOoowJ4_y9x16yeWEfr_fKxryyLUqc0xwSqgYJytPlii-hs_HuOlgmqg,Picked up from BELS
